指標編號,指標類別,關鍵字,中英文類型,提取值,數據類型,信心分數,信心等級,來源頁面,提取狀態,來源文本摘要,備註
1,指標1_再生材料使用比例,再生材料使用比例,中文,提取失敗,error,0.000,極低,"第167頁, 第109頁, 第108頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
1,指標1_再生材料使用比例,再生塑膠佔比,中文,提取失敗,error,0.000,極低,"第169頁, 第167頁, 第108頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
1,指標1_再生材料使用比例,rPET含量,中文,提取失敗,error,0.000,極低,"第166頁, 第167頁, 第166頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
1,指標1_再生材料使用比例,PCR材料使用,中文,提取失敗,error,0.000,極低,"第56頁, 第167頁, 第55頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
1,指標1_再生材料使用比例,導入再生料,中文,提取失敗,error,0.000,極低,"第86頁, 第167頁, 第107頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
1,指標1_再生材料使用比例,recycled content ratio%,英文,提取失敗,error,0.000,極低,"第168頁, 第169頁, 第8頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
1,指標1_再生材料使用比例,PCR plastic usage,英文,提取失敗,error,0.000,極低,"第56頁, 第167頁, 第3頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
1,指標1_再生材料使用比例,rPET content,英文,提取失敗,error,0.000,極低,"第38頁, 第167頁, 第166頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
1,指標1_再生材料使用比例,% recycled materials,英文,提取失敗,error,0.000,極低,"第109頁, 第108頁, 第107頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
1,指標1_再生材料使用比例,recycled plastic usage rate,英文,提取失敗,error,0.000,極低,"第167頁, 第168頁, 第169頁",提取錯誤,"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/ge...",低信心度; 提取過程出錯
